date,factory,product_line,defect_count,batch_size,defect_reason
2023-05-08,Factory E,PW-4000,7.0,59.0,Assembly Error
2023-09-13,Factory C,PW-3000,30.0,180.0,Material Defect
2022-03-10,Factory C,PW-2000,18.0,133.0,Assembly Error
2023-04-09,Factory A,Commercial-Pro,5.0,205.0,Material Defect
2023-01-12,Factory D,Industrial-X,12.0,292.0,Human Error
2023-05-04,Factory A,PW-4000,11.0,136.0,Assembly Error
2022-05-11,Factory A,PW-3000,5.0,271.0,Quality Control Failure
2022-09-23,Factory B,Industrial-X,13.0,252.0,Supplier Issue
2023-05-29,Factory A,Commercial-Pro,5.0,85.0,Material Defect
2022-04-16,Factory E,,6.0,248.0,Assembly Error
2023-12-20,Factory A,PW-4000,2.0,227.0,Quality Control Failure
2023-10-08,Factory D,PW-2000,8.0,59.0,
2023-02-01,Factory A,Commercial-Pro,1.0,269.0,Material Defect
2022-12-26,Factory C,,14.0,251.0,Assembly Error
2023-04-25,Factory E,PW-3000,15.0,284.0,Machine Malfunction
2022-10-11,Factory B,Industrial-X,8.0,198.0,Human Error
2023-11-09,Factory E,,6.0,83.0,Quality Control Failure
2022-09-13,Factory D,PW-3000,18.0,267.0,Machine Malfunction
2022-02-12,Factory E,Industrial-X,1.0,276.0,Human Error
2023-01-12,Factory D,PW-3000,9.0,86.0,
,Factory B,PW-3000,6.0,256.0,Quality Control Failure
,Factory A,PW-2000,12.0,275.0,Material Defect
2022-03-03,Factory C,Commercial-Pro,18.0,131.0,Assembly Error
2023-09-11,Factory E,Commercial-Pro,4.0,86.0,Material Defect
,Factory A,PW-4000,7.0,251.0,Quality Control Failure
2022-04-23,Factory C,PW-3000,35.0,138.0,
2023-07-23,Factory E,PW-2000,10.0,256.0,
2023-11-04,Factory C,,38.0,104.0,Assembly Error
2023-09-12,Factory C,PW-2000,10.0,154.0,Human Error
2022-08-22,Factory C,PW-4000,26.0,100.0,Human Error
2022-08-14,Factory A,PW-3000,5.0,186.0,
2022-04-11,Factory A,,14.0,120.0,Supplier Issue
2023-08-10,Factory B,PW-4000,7.0,245.0,Material Defect
2023-10-01,Factory B,PW-3000,1.0,175.0,Machine Malfunction
2023-05-23,Factory D,Commercial-Pro,13.0,184.0,Material Defect
2023-04-25,Factory E,Industrial-X,1.0,243.0,Machine Malfunction
2022-03-02,Factory A,Industrial-X,9.0,84.0,Human Error
2022-10-07,Factory E,Commercial-Pro,8.0,255.0,Quality Control Failure
2023-04-05,Factory C,,32.0,286.0,Supplier Issue
2023-03-03,Factory E,,5.0,294.0,Assembly Error
2022-10-05,Factory C,PW-2000,14.0,,Material Defect
2023-08-22,Factory B,,11.0,150.0,Machine Malfunction
2023-09-16,Factory E,PW-4000,11.0,54.0,Material Defect
2022-12-17,Factory D,PW-3000,14.0,158.0,Quality Control Failure
2023-12-26,Factory C,PW-2000,34.0,129.0,Assembly Error
2023-09-01,Factory A,Commercial-Pro,12.0,206.0,Human Error
2023-06-28,Factory A,PW-2000,9.0,179.0,Assembly Error
2022-02-06,Factory C,,8.0,97.0,Quality Control Failure
2022-08-26,Factory D,PW-2000,39.0,144.0,Human Error
2023-05-18,Factory B,PW-3000,6.0,65.0,Supplier Issue
2023-09-11,Factory B,PW-4000,5.0,96.0,Assembly Error
2022-10-07,Factory D,PW-2000,34.0,57.0,
2022-08-16,Factory A,PW-4000,13.0,226.0,Material Defect
2022-06-22,Factory E,Commercial-Pro,2.0,113.0,Quality Control Failure
2023-06-02,Factory A,Commercial-Pro,6.0,112.0,
2023-01-30,Factory C,Industrial-X,25.0,222.0,
2023-07-27,Factory D,PW-2000,21.0,79.0,Material Defect
2023-02-15,Factory D,PW-4000,8.0,134.0,Material Defect
2023-02-20,Factory C,PW-4000,15.0,271.0,Quality Control Failure
2023-10-29,Factory C,PW-2000,15.0,215.0,Quality Control Failure
2023-07-16,Factory D,PW-4000,19.0,54.0,Assembly Error
,Factory D,PW-4000,31.0,80.0,Material Defect
2023-02-04,Factory C,PW-2000,5.0,254.0,Assembly Error
2022-02-26,Factory A,PW-4000,2.0,259.0,
2022-12-29,Factory B,PW-4000,14.0,258.0,
2023-06-09,Factory A,Industrial-X,12.0,110.0,Machine Malfunction
2022-12-12,Factory C,PW-2000,22.0,141.0,Human Error
2023-08-27,Factory B,Commercial-Pro,15.0,108.0,Material Defect
2022-06-16,Factory A,PW-4000,12.0,134.0,
2023-10-08,Factory C,PW-3000,13.0,61.0,
2023-02-02,Factory D,Industrial-X,11.0,275.0,
2022-01-27,Factory D,PW-3000,13.0,201.0,Material Defect
2023-11-15,Factory B,PW-4000,6.0,262.0,Assembly Error
2022-10-17,Factory D,PW-3000,27.0,271.0,Supplier Issue
2022-04-08,Factory B,PW-2000,6.0,157.0,Quality Control Failure
2022-12-06,Factory E,,15.0,178.0,Material Defect
2023-02-21,Factory E,PW-2000,14.0,193.0,Assembly Error
2023-04-28,Factory A,Industrial-X,12.0,252.0,Material Defect
2022-02-22,Factory E,PW-3000,3.0,298.0,Human Error
2023-06-06,Factory D,Industrial-X,26.0,69.0,Material Defect
2023-09-12,Factory D,PW-3000,33.0,208.0,Quality Control Failure
2023-05-30,Factory D,PW-3000,9.0,213.0,Human Error
2022-06-29,Factory B,Commercial-Pro,5.0,73.0,Human Error
2022-08-21,Factory D,PW-3000,36.0,282.0,
,Factory B,PW-4000,10.0,146.0,
2023-08-01,Factory D,PW-4000,6.0,58.0,Material Defect
2023-03-05,Factory E,PW-4000,15.0,158.0,Machine Malfunction
2022-12-15,Factory A,PW-3000,14.0,,
2022-09-30,Factory B,,1.0,54.0,Quality Control Failure
2023-02-16,Factory C,Industrial-X,18.0,143.0,Machine Malfunction
2023-02-12,Factory E,Industrial-X,15.0,287.0,Material Defect
2023-07-29,Factory A,Industrial-X,15.0,84.0,Machine Malfunction
2023-07-20,Factory C,PW-3000,28.0,196.0,Quality Control Failure
2023-02-28,Factory A,PW-2000,11.0,216.0,Machine Malfunction
2023-08-28,Factory B,PW-2000,10.0,,Material Defect
2022-07-07,Factory A,Commercial-Pro,4.0,,Material Defect
2023-04-28,Factory B,Industrial-X,10.0,271.0,Assembly Error
2022-02-15,Factory A,PW-2000,1.0,177.0,Material Defect
2023-03-23,Factory A,PW-3000,7.0,274.0,Material Defect
2023-02-04,Factory C,Commercial-Pro,14.0,108.0,Supplier Issue
2023-01-14,Factory D,Industrial-X,27.0,128.0,Machine Malfunction
,Factory A,,7.0,263.0,Assembly Error
2023-09-19,Factory E,PW-2000,8.0,288.0,
2022-08-13,Factory D,PW-4000,6.0,295.0,Material Defect
2022-03-18,Factory B,PW-3000,5.0,219.0,Supplier Issue
2023-06-25,Factory A,PW-3000,6.0,97.0,Supplier Issue
2022-11-03,Factory E,PW-3000,10.0,,Supplier Issue
2022-05-01,Factory C,PW-4000,29.0,54.0,Supplier Issue
2023-04-28,Factory D,,10.0,272.0,Assembly Error
2022-11-05,Factory D,PW-3000,28.0,65.0,Human Error
2022-01-09,Factory D,Commercial-Pro,20.0,195.0,Assembly Error
2023-08-05,Factory D,Industrial-X,35.0,254.0,Machine Malfunction
2022-02-28,Factory C,PW-4000,27.0,68.0,Assembly Error
2022-05-15,Factory D,PW-2000,5.0,71.0,
2022-12-27,Factory D,PW-2000,31.0,97.0,
2022-10-06,Factory D,Commercial-Pro,36.0,63.0,Quality Control Failure
2023-08-17,Factory A,,1.0,115.0,Material Defect
2022-11-22,Factory A,PW-3000,3.0,163.0,Assembly Error
2022-09-19,Factory D,Industrial-X,39.0,121.0,
2023-03-18,Factory C,PW-2000,38.0,270.0,Material Defect
2023-11-04,Factory B,,4.0,296.0,Machine Malfunction
2023-01-16,Factory D,Commercial-Pro,13.0,228.0,Supplier Issue
2023-04-12,Factory E,Industrial-X,11.0,163.0,Quality Control Failure
2023-02-03,Factory E,Industrial-X,1.0,292.0,Machine Malfunction
2022-06-05,Factory A,PW-3000,1.0,260.0,Quality Control Failure
2023-11-30,Factory A,PW-3000,5.0,,
2022-07-28,Factory C,,18.0,242.0,
2023-06-08,Factory E,PW-3000,15.0,84.0,Supplier Issue
2022-12-03,Factory D,PW-4000,7.0,116.0,Machine Malfunction
2023-02-15,Factory A,PW-4000,11.0,297.0,Material Defect
2022-01-02,Factory C,Industrial-X,21.0,66.0,Supplier Issue
2022-09-26,Factory A,,10.0,83.0,Quality Control Failure
2023-01-15,Factory B,PW-2000,10.0,169.0,Material Defect
2023-04-09,Factory B,Industrial-X,9.0,82.0,Material Defect
2022-04-07,Factory E,,4.0,143.0,Assembly Error
2022-05-15,Factory E,Commercial-Pro,1.0,127.0,Machine Malfunction
2022-08-20,Factory A,,4.0,119.0,Material Defect
2023-07-06,Factory A,PW-3000,3.0,178.0,Material Defect
2023-03-08,Factory E,,1.0,230.0,Assembly Error
2022-08-12,Factory D,PW-4000,35.0,89.0,Human Error
2023-01-10,Factory C,,18.0,74.0,Supplier Issue
2023-10-05,Factory B,Commercial-Pro,8.0,62.0,Assembly Error
2022-05-28,Factory A,PW-4000,5.0,220.0,Material Defect
2022-01-06,Factory B,PW-2000,6.0,87.0,
2023-06-07,Factory C,PW-3000,40.0,280.0,Assembly Error
,Factory D,PW-2000,13.0,,Human Error
2023-12-17,Factory A,PW-3000,10.0,119.0,
2023-08-11,Factory A,Commercial-Pro,10.0,235.0,Material Defect
2022-01-03,Factory E,PW-4000,3.0,240.0,Material Defect
2023-08-29,Factory D,PW-3000,39.0,88.0,Assembly Error
2023-09-04,Factory E,PW-4000,13.0,151.0,Quality Control Failure
2023-05-02,Factory C,PW-3000,28.0,280.0,Assembly Error
2022-02-10,Factory E,PW-4000,4.0,124.0,
2023-12-11,Factory B,PW-2000,3.0,164.0,Assembly Error
2022-10-09,Factory C,PW-3000,18.0,254.0,Assembly Error
2022-06-07,Factory D,Industrial-X,18.0,218.0,
2022-12-10,Factory D,PW-4000,16.0,,
2023-02-19,Factory A,PW-3000,14.0,190.0,Quality Control Failure
2023-10-29,Factory E,Industrial-X,14.0,247.0,Machine Malfunction
2022-10-01,Factory D,PW-3000,19.0,51.0,Human Error
2022-06-26,Factory D,Commercial-Pro,29.0,273.0,Material Defect
2023-01-17,Factory C,PW-4000,19.0,115.0,
2022-12-16,Factory A,PW-2000,9.0,193.0,
2023-03-21,Factory D,Industrial-X,31.0,111.0,Material Defect
2023-11-24,Factory B,PW-4000,2.0,289.0,
2023-09-13,Factory C,Industrial-X,35.0,86.0,Assembly Error
2022-03-05,Factory B,PW-2000,9.0,89.0,Supplier Issue
2023-11-07,Factory A,Industrial-X,12.0,53.0,Quality Control Failure
2022-01-20,Factory C,,29.0,75.0,Assembly Error
2023-08-14,Factory B,Industrial-X,13.0,252.0,
,Factory B,PW-3000,4.0,267.0,Material Defect
2022-03-16,Factory E,PW-4000,15.0,234.0,Quality Control Failure
2022-04-30,Factory C,,21.0,131.0,Human Error
2023-08-28,Factory E,,8.0,242.0,Quality Control Failure
2022-09-20,Factory C,Commercial-Pro,32.0,169.0,Material Defect
2022-07-29,Factory C,Commercial-Pro,21.0,235.0,Supplier Issue
2023-05-23,Factory A,,12.0,192.0,Machine Malfunction
2022-03-22,Factory C,Industrial-X,27.0,103.0,
2023-02-22,Factory A,PW-3000,3.0,99.0,
2022-11-15,Factory C,PW-4000,14.0,185.0,Assembly Error
2022-09-23,Factory A,Industrial-X,4.0,137.0,Quality Control Failure
2022-10-08,Factory D,Industrial-X,32.0,300.0,Assembly Error
2023-03-29,Factory A,,10.0,248.0,Machine Malfunction
2022-12-18,Factory C,PW-2000,28.0,54.0,Machine Malfunction
2023-04-17,Factory B,PW-3000,12.0,86.0,Human Error
2022-06-10,Factory D,Commercial-Pro,31.0,161.0,Supplier Issue
2022-04-19,Factory C,Industrial-X,12.0,241.0,Assembly Error
,Factory B,PW-4000,1.0,268.0,Material Defect
2022-04-13,Factory E,Commercial-Pro,6.0,236.0,Material Defect
2023-04-13,Factory B,,13.0,216.0,Quality Control Failure
2022-11-15,Factory B,Commercial-Pro,5.0,241.0,Material Defect
2022-04-30,Factory D,Commercial-Pro,31.0,95.0,Material Defect
2022-11-16,Factory B,Industrial-X,14.0,51.0,Assembly Error
2022-02-22,Factory E,PW-4000,11.0,170.0,Material Defect
2023-04-19,Factory D,,22.0,94.0,Machine Malfunction
2023-04-05,Factory E,PW-2000,14.0,298.0,Material Defect
2023-04-23,Factory D,PW-4000,25.0,216.0,Material Defect
2022-12-20,Factory D,,20.0,199.0,Machine Malfunction
2023-10-13,Factory E,Commercial-Pro,13.0,152.0,Assembly Error
2022-12-05,Factory D,,37.0,90.0,Material Defect
2022-05-29,Factory B,,6.0,205.0,Human Error
2023-08-25,Factory B,PW-2000,12.0,286.0,Material Defect
2023-06-23,Factory D,PW-2000,19.0,140.0,Assembly Error
2022-01-23,Factory C,PW-4000,33.0,199.0,Quality Control Failure
2023-03-10,Factory B,Industrial-X,12.0,249.0,
2023-12-04,Factory E,Industrial-X,4.0,289.0,Supplier Issue
2022-08-22,Factory D,PW-2000,40.0,140.0,Material Defect
2023-01-23,Factory C,,10.0,145.0,Supplier Issue
2023-03-11,Factory B,PW-4000,2.0,81.0,Machine Malfunction
2023-10-03,Factory A,PW-4000,4.0,212.0,Material Defect
2022-11-07,Factory E,Industrial-X,11.0,70.0,Material Defect
2022-05-31,Factory D,PW-3000,9.0,294.0,Material Defect
2023-09-03,Factory E,PW-3000,12.0,251.0,Machine Malfunction
2022-02-17,Factory E,PW-3000,4.0,232.0,Assembly Error
2022-07-30,Factory A,Commercial-Pro,13.0,212.0,Quality Control Failure
2022-07-10,Factory C,,29.0,200.0,
2023-01-22,Factory D,Industrial-X,9.0,236.0,Material Defect
2022-03-09,Factory A,PW-2000,11.0,112.0,Material Defect
2022-11-30,Factory C,,26.0,136.0,Material Defect
2022-06-16,Factory B,PW-4000,7.0,138.0,
2022-07-27,Factory A,,2.0,,Human Error
2022-02-13,Factory C,Commercial-Pro,34.0,102.0,Assembly Error
2022-11-04,Factory B,PW-3000,4.0,189.0,Material Defect
2023-10-01,Factory E,Commercial-Pro,8.0,230.0,Quality Control Failure
2023-02-23,Factory E,PW-4000,8.0,239.0,Assembly Error
2023-10-22,Factory D,Industrial-X,8.0,130.0,Material Defect
2022-12-13,Factory D,,10.0,88.0,Supplier Issue
2022-01-30,Factory A,Industrial-X,3.0,210.0,Material Defect
2022-03-13,Factory E,,10.0,147.0,Material Defect
2022-10-31,Factory D,PW-4000,25.0,156.0,Supplier Issue
2022-06-13,Factory E,Commercial-Pro,3.0,50.0,Human Error
2023-04-17,Factory E,,6.0,206.0,
2023-01-27,Factory B,PW-3000,1.0,70.0,Machine Malfunction
2022-06-16,Factory E,PW-2000,7.0,121.0,Assembly Error
2023-11-04,Factory E,,3.0,75.0,Material Defect
2022-02-07,Factory B,PW-4000,9.0,159.0,Human Error
2022-07-09,Factory A,,9.0,74.0,Human Error
2023-08-30,Factory D,PW-4000,39.0,,Supplier Issue
2023-11-03,Factory D,PW-4000,37.0,206.0,Quality Control Failure
2022-05-01,Factory D,PW-3000,8.0,170.0,Assembly Error
2022-05-17,Factory D,PW-4000,28.0,153.0,Material Defect
2023-11-24,Factory B,,11.0,61.0,Material Defect
2023-01-02,Factory A,,9.0,81.0,Supplier Issue
2023-12-17,Factory A,PW-4000,11.0,254.0,Human Error
2022-04-25,Factory B,PW-4000,12.0,203.0,Supplier Issue
2022-06-04,Factory C,PW-2000,8.0,180.0,Human Error
2023-08-20,Factory A,,13.0,297.0,Quality Control Failure
,Factory A,PW-2000,2.0,115.0,Quality Control Failure
2023-06-28,Factory B,Industrial-X,8.0,287.0,Human Error
2022-02-28,Factory E,PW-4000,6.0,91.0,Quality Control Failure
2022-03-26,Factory B,Industrial-X,9.0,284.0,Material Defect
2022-01-17,Factory A,Industrial-X,13.0,181.0,Supplier Issue
2023-06-25,Factory A,,4.0,58.0,Assembly Error
2023-07-01,Factory E,,7.0,61.0,Assembly Error
2023-03-31,Factory D,,39.0,156.0,Supplier Issue
2023-09-08,Factory C,,13.0,61.0,Machine Malfunction
2023-06-09,Factory D,PW-2000,32.0,,Assembly Error
2022-06-12,Factory E,Commercial-Pro,13.0,164.0,Assembly Error
2023-11-10,Factory D,Commercial-Pro,23.0,116.0,Quality Control Failure
2023-05-05,Factory D,PW-3000,31.0,82.0,Assembly Error
2022-02-16,Factory E,PW-3000,8.0,64.0,Assembly Error
2022-01-22,Factory C,PW-2000,37.0,282.0,Machine Malfunction
2022-05-25,Factory B,,15.0,122.0,Human Error
2023-08-29,Factory C,PW-2000,10.0,236.0,Quality Control Failure
2022-01-05,Factory B,PW-2000,3.0,92.0,Material Defect
2023-02-17,Factory B,Industrial-X,5.0,162.0,Assembly Error
2022-09-02,Factory B,PW-4000,11.0,217.0,Material Defect
2023-03-17,Factory B,,2.0,240.0,Quality Control Failure
2023-06-10,Factory C,PW-4000,20.0,120.0,Material Defect
2023-04-19,Factory C,,21.0,272.0,Quality Control Failure
2023-07-07,Factory A,PW-2000,15.0,217.0,Machine Malfunction
2023-08-01,Factory E,,4.0,170.0,Assembly Error
2023-07-15,Factory D,Industrial-X,5.0,145.0,Assembly Error
2023-01-22,Factory B,PW-3000,8.0,167.0,Assembly Error
2023-08-18,Factory B,Industrial-X,14.0,287.0,Machine Malfunction
2023-09-11,Factory D,PW-4000,10.0,199.0,Human Error
2023-01-02,Factory E,Commercial-Pro,3.0,92.0,Quality Control Failure
2022-11-08,Factory D,Industrial-X,20.0,204.0,Machine Malfunction
2023-01-19,Factory D,PW-3000,5.0,235.0,Assembly Error
2023-05-09,Factory E,PW-4000,4.0,252.0,Supplier Issue
2023-07-11,Factory C,PW-3000,32.0,247.0,Material Defect
2023-06-10,Factory C,PW-3000,21.0,193.0,Supplier Issue
2023-12-16,Factory D,PW-4000,32.0,245.0,Assembly Error
2023-08-25,Factory E,,8.0,282.0,Human Error
2023-11-13,Factory D,Commercial-Pro,13.0,64.0,Assembly Error
2022-03-09,Factory C,Industrial-X,35.0,149.0,Supplier Issue
2022-02-09,Factory C,Industrial-X,14.0,61.0,Quality Control Failure
2022-12-20,Factory B,PW-3000,7.0,206.0,Assembly Error
2023-01-16,Factory A,PW-4000,2.0,245.0,Material Defect
2022-04-18,Factory B,Industrial-X,6.0,269.0,Material Defect
2023-03-22,Factory D,,29.0,284.0,
2022-07-21,Factory A,PW-2000,7.0,211.0,Assembly Error
2023-11-09,Factory D,PW-3000,19.0,113.0,Quality Control Failure
2023-04-20,Factory D,Commercial-Pro,33.0,230.0,Material Defect
2022-06-07,Factory C,,7.0,106.0,Material Defect
2023-03-09,Factory B,PW-3000,6.0,202.0,Quality Control Failure
2022-09-27,Factory E,Commercial-Pro,5.0,,Material Defect
2022-08-24,Factory A,Commercial-Pro,11.0,235.0,Supplier Issue
2023-04-19,Factory C,,38.0,176.0,Material Defect
2023-06-07,Factory B,PW-3000,8.0,84.0,
2023-12-01,Factory E,PW-2000,9.0,293.0,Supplier Issue
2023-08-21,Factory E,PW-4000,9.0,147.0,Material Defect
2022-03-06,Factory D,,15.0,285.0,
2022-03-10,Factory D,Industrial-X,27.0,268.0,Material Defect
2023-08-16,Factory A,Industrial-X,1.0,131.0,Supplier Issue
2023-03-15,Factory E,,13.0,51.0,Assembly Error
2022-12-12,Factory A,Industrial-X,13.0,175.0,Human Error
2022-10-28,Factory B,PW-3000,13.0,,Material Defect
2023-12-15,Factory A,PW-4000,15.0,126.0,Material Defect
,Factory B,Commercial-Pro,2.0,174.0,Material Defect
2023-12-18,Factory D,,18.0,96.0,
,Factory D,PW-3000,25.0,186.0,Supplier Issue
2022-10-14,Factory B,PW-2000,4.0,214.0,Quality Control Failure
2023-03-16,Factory D,Industrial-X,37.0,127.0,Machine Malfunction
2023-02-06,Factory B,Industrial-X,15.0,173.0,Machine Malfunction
2023-12-29,Factory E,Commercial-Pro,11.0,210.0,Material Defect
2022-04-23,Factory E,PW-3000,3.0,259.0,Human Error
2023-03-27,Factory D,PW-4000,14.0,189.0,Machine Malfunction
2022-04-11,Factory A,PW-2000,3.0,269.0,Material Defect
2023-12-14,Factory E,Commercial-Pro,11.0,128.0,Machine Malfunction
2022-02-16,Factory E,PW-2000,6.0,238.0,Human Error
2022-06-11,Factory A,PW-2000,9.0,121.0,
2022-02-19,Factory D,Commercial-Pro,26.0,241.0,Machine Malfunction
2022-11-17,Factory B,,3.0,282.0,Quality Control Failure
2023-10-17,Factory A,PW-3000,4.0,55.0,Material Defect
2023-07-31,Factory A,Commercial-Pro,12.0,195.0,Material Defect
2022-04-25,Factory B,PW-3000,14.0,159.0,Assembly Error
