date,factory,product_line,units_produced,shift
2022-10-26,Factory A,Commercial-Pro,369.0,Morning
2022-03-11,Factory D,PW-4000,113.0,Afternoon
2023-09-17,Factory B,PW-4000,277.0,Morning
2022-06-18,Factory C,Industrial-X,322.0,Morning
2023-08-11,Factory D,Industrial-X,34.0,Morning
2023-11-19,Factory A,Commercial-Pro,385.0,Night
2022-12-04,Factory A,Industrial-X,338.0,Night
2022-10-28,Factory B,PW-2000,391.0,Morning
2022-07-27,Factory D,PW-3000,172.0,Morning
2023-04-06,Factory B,PW-2000,234.0,
2022-11-12,Factory D,PW-4000,86.0,Afternoon
2022-05-11,Factory A,PW-4000,112.0,Afternoon
2023-10-17,Factory B,Commercial-Pro,307.0,Afternoon
2023-09-24,Factory E,Industrial-X,171.0,Night
2022-02-14,Factory E,,293.0,
2022-08-07,Factory C,PW-3000,366.0,
2022-05-14,Factory B,PW-3000,324.0,Afternoon
2022-11-16,Factory A,Commercial-Pro,184.0,Night
2022-11-10,Factory D,Commercial-Pro,150.0,Morning
2022-08-08,Factory C,Industrial-X,246.0,Morning
2023-01-23,Factory D,PW-2000,40.0,
2023-11-18,Factory C,PW-2000,326.0,Night
2022-11-29,Factory A,Commercial-Pro,335.0,Afternoon
2022-11-08,Factory B,Commercial-Pro,315.0,Morning
2022-09-29,Factory B,PW-3000,205.0,
,Factory C,PW-4000,141.0,Morning
2023-03-14,Factory B,PW-2000,351.0,Morning
2023-04-14,Factory D,PW-2000,75.0,Night
2022-06-10,Factory C,PW-2000,311.0,Morning
2023-02-13,Factory D,Industrial-X,126.0,Morning
2022-06-07,Factory A,PW-4000,349.0,Night
2023-05-14,Factory D,PW-4000,161.0,Night
2022-03-23,Factory B,PW-2000,190.0,Afternoon
2022-05-21,Factory A,PW-2000,247.0,
2023-06-14,Factory C,Commercial-Pro,307.0,Morning
2023-06-26,Factory B,Commercial-Pro,169.0,Morning
2022-01-17,Factory A,,365.0,Night
2023-08-06,Factory B,PW-2000,332.0,Morning
2023-04-07,Factory E,PW-3000,260.0,Afternoon
2023-12-12,Factory B,Commercial-Pro,188.0,Morning
2023-11-30,Factory E,PW-3000,194.0,Morning
2022-03-26,Factory C,Commercial-Pro,380.0,
2023-12-28,Factory B,PW-4000,215.0,Afternoon
2023-03-13,Factory C,PW-4000,159.0,Morning
2023-06-06,Factory B,PW-3000,152.0,Afternoon
2022-10-11,Factory B,PW-3000,397.0,Night
2023-10-17,Factory A,PW-4000,359.0,Night
,Factory A,PW-3000,136.0,Night
2022-08-10,Factory A,PW-3000,375.0,Night
2022-09-07,Factory C,,134.0,Night
2023-02-07,Factory D,PW-4000,55.0,Night
2022-12-12,Factory E,,243.0,Morning
2023-09-23,Factory A,Industrial-X,314.0,Morning
2022-08-27,Factory B,PW-2000,151.0,Night
2023-05-18,Factory D,PW-2000,26.0,
2023-04-30,Factory A,PW-3000,299.0,Night
2023-08-05,Factory D,Commercial-Pro,152.0,
2022-12-04,Factory D,Industrial-X,59.0,Afternoon
2023-11-27,Factory E,Commercial-Pro,126.0,Night
2022-07-22,Factory A,PW-2000,293.0,Night
2022-02-01,Factory A,PW-4000,191.0,
2023-03-02,Factory D,PW-4000,144.0,Night
2022-07-22,Factory B,PW-3000,229.0,Morning
2022-08-31,Factory E,PW-4000,81.0,Night
2023-08-27,Factory C,Industrial-X,313.0,Morning
2022-04-01,Factory B,Industrial-X,360.0,Afternoon
2022-03-02,Factory D,PW-4000,142.0,Night
2022-10-09,Factory E,PW-2000,281.0,Morning
2023-08-09,Factory C,Industrial-X,342.0,
2023-02-04,Factory A,PW-3000,120.0,Afternoon
2023-02-23,Factory B,PW-2000,331.0,Night
2023-06-25,Factory D,PW-2000,92.0,
,Factory A,Industrial-X,200.0,
2023-07-19,Factory E,PW-3000,243.0,Night
2022-02-28,Factory D,,111.0,Morning
2022-02-02,Factory A,,166.0,Morning
2023-02-12,Factory B,PW-4000,213.0,Morning
2022-04-15,Factory E,PW-3000,152.0,Morning
2023-10-04,Factory E,PW-3000,128.0,Night
2022-07-19,Factory B,PW-3000,258.0,
2022-06-16,Factory A,PW-2000,392.0,
2022-03-07,Factory C,PW-2000,326.0,Night
2022-03-23,Factory D,PW-4000,103.0,Afternoon
2022-01-17,Factory B,PW-4000,157.0,Morning
2022-12-31,Factory B,PW-4000,205.0,Night
2022-10-28,Factory E,PW-3000,171.0,Afternoon
2022-02-18,Factory D,PW-4000,66.0,Morning
2022-01-20,Factory E,PW-2000,145.0,Night
,Factory B,PW-3000,350.0,Night
,Factory A,Commercial-Pro,212.0,
2022-04-19,Factory A,Commercial-Pro,248.0,Morning
2022-08-02,Factory D,PW-3000,97.0,Afternoon
2022-01-25,Factory D,PW-4000,100.0,
2023-12-13,Factory B,Industrial-X,152.0,Morning
2022-01-16,Factory D,PW-4000,105.0,Morning
2022-08-27,Factory E,Commercial-Pro,98.0,Morning
2023-06-10,Factory E,Commercial-Pro,222.0,
2023-09-05,Factory E,Industrial-X,260.0,Night
2023-01-19,Factory A,PW-4000,320.0,Night
2023-12-16,Factory D,Commercial-Pro,51.0,Afternoon
2023-08-06,Factory E,PW-4000,263.0,
2022-08-03,Factory D,Commercial-Pro,114.0,Night
2022-09-19,Factory C,PW-2000,399.0,
2023-12-03,Factory E,PW-2000,113.0,Morning
2022-08-19,Factory D,PW-4000,106.0,Night
2023-09-07,Factory C,PW-2000,130.0,Night
2022-11-27,Factory D,PW-3000,158.0,Afternoon
,Factory B,PW-4000,367.0,Morning
2022-02-10,Factory C,PW-3000,178.0,Morning
2022-12-16,Factory E,PW-3000,300.0,Night
2023-03-05,Factory D,PW-2000,114.0,Morning
2022-12-28,Factory D,Commercial-Pro,81.0,Morning
2022-04-23,Factory C,Commercial-Pro,192.0,Night
2023-08-03,Factory D,Commercial-Pro,82.0,
2022-08-15,Factory E,PW-2000,174.0,
2022-07-20,Factory A,Commercial-Pro,203.0,Night
2023-02-07,Factory E,PW-4000,178.0,Afternoon
2023-09-03,Factory D,Commercial-Pro,177.0,Night
2023-07-31,Factory C,PW-3000,379.0,Morning
2023-12-26,Factory E,PW-4000,101.0,Afternoon
2022-06-30,Factory D,PW-3000,161.0,Morning
2022-05-31,Factory E,PW-2000,249.0,Night
2022-11-04,Factory D,PW-2000,86.0,
2022-03-21,Factory D,Industrial-X,177.0,Night
2023-08-05,Factory D,PW-3000,35.0,Night
2022-01-27,Factory C,PW-4000,146.0,Night
2022-11-05,Factory D,PW-4000,115.0,Afternoon
2023-04-15,Factory D,PW-4000,152.0,Night
2023-07-19,Factory B,PW-4000,180.0,Night
2023-01-11,Factory E,PW-2000,288.0,Night
2023-03-27,Factory B,PW-4000,309.0,Morning
2023-10-15,Factory B,PW-4000,321.0,Morning
2023-06-13,Factory D,Commercial-Pro,96.0,Afternoon
2023-04-07,Factory A,PW-4000,351.0,Afternoon
2022-10-17,Factory E,Commercial-Pro,105.0,Morning
2022-02-05,Factory E,Commercial-Pro,200.0,Afternoon
2022-08-16,Factory C,PW-2000,165.0,Morning
2022-01-01,Factory E,Commercial-Pro,182.0,Morning
2022-08-10,Factory A,Industrial-X,207.0,
2023-03-04,Factory E,Commercial-Pro,215.0,Afternoon
2023-01-26,Factory C,Commercial-Pro,254.0,Night
2022-12-07,Factory A,PW-2000,145.0,Morning
2022-01-27,Factory C,Commercial-Pro,259.0,Morning
2022-05-07,Factory E,PW-3000,202.0,Afternoon
2022-12-09,Factory C,PW-3000,190.0,
2023-05-02,Factory D,Commercial-Pro,69.0,
2023-11-06,Factory D,Industrial-X,162.0,Afternoon
2022-02-04,Factory C,Industrial-X,155.0,
2022-04-15,Factory D,PW-4000,53.0,Night
2022-02-20,Factory E,Commercial-Pro,100.0,Afternoon
2022-07-24,Factory A,PW-3000,335.0,Morning
2023-08-05,Factory D,Commercial-Pro,69.0,
2023-12-10,Factory D,PW-2000,72.0,Morning
2022-10-13,Factory E,PW-2000,226.0,Night
2023-03-06,Factory A,Industrial-X,373.0,Morning
2022-12-14,Factory A,PW-4000,213.0,Night
2022-02-10,Factory D,PW-2000,83.0,
,Factory C,Industrial-X,164.0,Morning
2022-01-11,Factory B,PW-4000,150.0,Night
2023-06-03,Factory A,Commercial-Pro,396.0,
2022-12-12,Factory C,PW-3000,177.0,Afternoon
,Factory C,Commercial-Pro,399.0,Afternoon
2022-12-13,Factory B,PW-2000,207.0,
2022-09-16,Factory B,,283.0,Night
2022-01-22,Factory C,PW-3000,293.0,Afternoon
2022-07-19,Factory C,Commercial-Pro,261.0,Night
2023-05-11,Factory B,PW-3000,387.0,Afternoon
2022-06-14,Factory B,Industrial-X,224.0,Night
2023-09-14,Factory D,PW-3000,110.0,
2022-06-30,Factory C,Industrial-X,241.0,Morning
2022-05-11,Factory B,PW-2000,315.0,Night
2022-05-17,Factory E,PW-3000,202.0,Afternoon
,Factory C,,386.0,Night
2022-10-03,Factory B,Industrial-X,351.0,
2022-12-05,Factory D,Industrial-X,77.0,
2022-04-11,Factory A,Commercial-Pro,392.0,Afternoon
2023-03-29,Factory B,Commercial-Pro,174.0,Morning
2022-02-04,Factory B,PW-3000,167.0,Morning
2022-05-15,Factory D,PW-2000,24.0,Afternoon
2022-06-13,Factory A,,205.0,Morning
2022-04-09,Factory C,,373.0,Afternoon
2023-11-27,Factory C,Industrial-X,246.0,
2022-05-20,Factory B,PW-3000,300.0,Morning
2022-08-25,Factory A,Industrial-X,294.0,Night
2022-04-08,Factory D,Commercial-Pro,64.0,Morning
2023-07-27,Factory A,Industrial-X,350.0,Night
2023-08-21,Factory D,PW-2000,166.0,Night
2022-11-27,Factory A,PW-4000,169.0,Afternoon
2023-09-12,Factory E,PW-4000,252.0,
2023-04-14,Factory B,PW-3000,289.0,Morning
2022-01-12,Factory C,PW-4000,354.0,Night
2022-05-16,Factory B,,215.0,Morning
2022-09-18,Factory D,Industrial-X,131.0,
2022-08-20,Factory D,PW-3000,121.0,Night
2023-06-13,Factory A,PW-3000,123.0,Morning
2022-02-13,Factory D,Commercial-Pro,54.0,
2022-03-06,Factory E,Commercial-Pro,124.0,
2022-10-10,Factory D,PW-3000,56.0,Night
2023-03-02,Factory C,Commercial-Pro,329.0,Afternoon
2023-12-06,Factory B,PW-3000,371.0,Night
2022-09-30,Factory A,Commercial-Pro,222.0,Afternoon
,Factory B,PW-4000,372.0,Night
2023-08-13,Factory E,PW-3000,161.0,Morning
2023-06-03,Factory B,Commercial-Pro,187.0,Afternoon
2023-09-23,Factory C,PW-2000,400.0,
2023-06-21,Factory A,PW-3000,358.0,Night
2022-06-01,Factory E,Commercial-Pro,98.0,Afternoon
2023-02-02,Factory C,Industrial-X,270.0,Night
2022-12-27,Factory C,PW-3000,387.0,Morning
2023-04-15,Factory C,PW-3000,319.0,
,Factory D,PW-4000,171.0,Night
2023-09-15,Factory C,Commercial-Pro,111.0,Morning
2023-01-08,Factory C,PW-4000,255.0,Afternoon
2023-02-12,Factory D,PW-2000,158.0,Night
2023-04-06,Factory A,PW-2000,288.0,Night
2023-11-13,Factory C,Commercial-Pro,371.0,Afternoon
2022-03-18,Factory A,PW-3000,267.0,Morning
2023-05-05,Factory A,,230.0,Night
2022-04-30,Factory C,Industrial-X,205.0,Morning
2022-12-04,Factory C,Commercial-Pro,144.0,
2022-06-07,Factory D,Industrial-X,32.0,Night
2023-07-07,Factory A,PW-2000,126.0,Afternoon
2022-03-29,Factory D,PW-2000,35.0,Morning
2022-05-26,Factory D,Commercial-Pro,61.0,Night
2022-02-03,Factory D,PW-2000,106.0,
2023-11-08,Factory D,Industrial-X,87.0,Morning
2023-01-23,Factory E,PW-3000,220.0,Afternoon
2022-01-04,Factory B,PW-4000,242.0,Morning
2022-05-03,Factory D,PW-4000,80.0,Morning
2023-05-28,Factory D,Industrial-X,172.0,Afternoon
2023-06-23,Factory B,PW-3000,231.0,Morning
2023-03-09,Factory E,Commercial-Pro,282.0,Night
2023-08-20,Factory E,Industrial-X,174.0,Night
2022-12-29,Factory D,,55.0,Night
2023-10-27,Factory C,PW-2000,222.0,
2022-03-27,Factory E,Industrial-X,228.0,Morning
2022-02-17,Factory B,PW-2000,225.0,Morning
2022-12-24,Factory D,Commercial-Pro,166.0,Afternoon
2023-05-31,Factory D,PW-4000,111.0,Morning
2023-08-24,Factory E,Industrial-X,242.0,Morning
2023-02-12,Factory A,PW-2000,316.0,Morning
2023-07-15,Factory C,PW-4000,367.0,Morning
,Factory A,PW-2000,212.0,Night
2022-06-16,Factory D,PW-3000,56.0,
2022-03-12,Factory C,PW-2000,285.0,Night
2022-11-18,Factory B,Industrial-X,308.0,Afternoon
2023-03-02,Factory E,PW-4000,104.0,Afternoon
2022-08-28,Factory C,PW-3000,209.0,Night
2023-02-07,Factory E,Industrial-X,265.0,Night
2022-03-20,Factory A,PW-4000,187.0,Morning
2023-06-05,Factory E,Commercial-Pro,181.0,Afternoon
2022-03-10,Factory C,Industrial-X,353.0,Afternoon
2023-05-10,Factory A,PW-2000,314.0,Morning
2022-05-26,Factory D,PW-3000,170.0,Morning
2022-10-03,Factory E,PW-3000,200.0,Morning
2023-02-06,Factory D,Industrial-X,176.0,Night
2022-03-29,Factory B,PW-4000,252.0,Night
2023-12-21,Factory D,PW-2000,63.0,Afternoon
2023-12-15,Factory B,PW-4000,297.0,Night
2023-01-08,Factory B,,271.0,
2023-10-27,Factory B,Commercial-Pro,215.0,Morning
2023-09-21,Factory E,PW-3000,255.0,
2023-12-03,Factory A,PW-3000,354.0,
2022-08-10,Factory E,Industrial-X,257.0,Morning
2023-01-11,Factory E,,207.0,Morning
2023-12-15,Factory A,Commercial-Pro,336.0,Morning
2022-05-22,Factory E,Industrial-X,298.0,Night
2022-08-27,Factory A,PW-2000,377.0,Morning
2022-08-13,Factory B,PW-3000,234.0,Morning
2022-04-02,Factory D,Commercial-Pro,128.0,
2022-05-17,Factory D,PW-4000,122.0,Night
2022-10-11,Factory B,Industrial-X,338.0,Morning
2023-03-31,Factory A,PW-2000,206.0,Afternoon
2023-10-18,Factory E,Commercial-Pro,243.0,Night
,Factory E,PW-4000,146.0,
2022-05-28,Factory A,PW-2000,111.0,Night
2022-01-23,Factory E,Industrial-X,239.0,Night
2023-12-07,Factory A,Industrial-X,340.0,
2022-03-22,Factory A,Industrial-X,316.0,Morning
2022-10-19,Factory A,PW-2000,162.0,Morning
2023-12-19,Factory B,Commercial-Pro,156.0,
2023-08-15,Factory C,PW-3000,170.0,Night
2023-11-21,Factory C,PW-3000,133.0,Morning
2023-04-27,Factory B,Commercial-Pro,316.0,Night
2023-01-20,Factory B,PW-2000,190.0,Afternoon
2023-10-09,Factory A,PW-4000,298.0,
2023-12-23,Factory A,Commercial-Pro,172.0,Night
2023-10-21,Factory E,Commercial-Pro,105.0,Morning
2022-12-08,Factory D,,109.0,Night
2023-05-04,Factory C,PW-3000,341.0,Night
2023-03-27,Factory B,PW-3000,135.0,Afternoon
2022-02-06,Factory D,PW-2000,25.0,
2022-11-23,Factory D,PW-2000,170.0,Morning
2022-07-06,Factory D,Industrial-X,124.0,Morning
2023-10-12,Factory A,PW-4000,183.0,
2022-09-19,Factory C,PW-2000,342.0,
2022-07-28,Factory D,PW-3000,68.0,Night
2023-05-22,Factory C,Industrial-X,342.0,Morning
2023-01-01,Factory B,PW-4000,273.0,
2022-03-09,Factory C,PW-2000,292.0,Morning
2023-04-16,Factory D,PW-3000,176.0,Morning
2022-09-06,Factory C,PW-2000,314.0,Morning
2023-01-22,Factory B,PW-4000,120.0,Night
2022-02-13,Factory C,PW-4000,247.0,Night
2023-03-08,Factory C,Industrial-X,323.0,Night
2023-08-23,Factory B,PW-2000,177.0,
2022-09-06,Factory C,PW-2000,398.0,Morning
2022-11-02,Factory B,PW-2000,178.0,Night
2022-04-18,Factory C,PW-3000,383.0,Morning
2023-04-24,Factory C,Commercial-Pro,186.0,Morning
2022-02-02,Factory A,PW-2000,269.0,Afternoon
2022-06-28,Factory C,PW-3000,357.0,Night
2022-11-09,Factory D,PW-2000,131.0,Afternoon
2022-12-27,Factory C,PW-2000,315.0,
2022-11-13,Factory A,PW-4000,328.0,Morning
2022-06-25,Factory E,PW-2000,231.0,
2023-05-11,Factory E,Industrial-X,150.0,Morning
2023-04-04,Factory D,Commercial-Pro,171.0,
2022-04-22,Factory D,Industrial-X,56.0,Morning
2023-12-06,Factory B,PW-2000,335.0,
2022-04-13,Factory B,PW-3000,358.0,Night
2022-12-05,Factory B,PW-2000,271.0,Night
2023-01-20,Factory A,PW-2000,205.0,Night
2023-12-16,Factory D,,63.0,Morning
2023-01-15,Factory A,Industrial-X,106.0,
2022-06-22,Factory A,PW-3000,344.0,Afternoon
2023-10-20,Factory C,PW-3000,224.0,Morning
2022-03-17,Factory A,Commercial-Pro,110.0,
2022-02-04,Factory C,PW-2000,348.0,Morning
2022-11-30,Factory A,Commercial-Pro,309.0,Morning
2022-03-25,Factory B,PW-2000,309.0,Afternoon
2023-03-12,Factory E,PW-3000,109.0,Night
2023-06-08,Factory D,PW-4000,148.0,Night
2022-10-29,Factory E,Commercial-Pro,282.0,Afternoon
2022-12-07,Factory E,Commercial-Pro,294.0,Night
2022-12-13,Factory A,Commercial-Pro,189.0,Morning
2022-09-17,Factory C,Commercial-Pro,372.0,Morning
2022-11-16,Factory E,Commercial-Pro,256.0,Morning
2023-03-08,Factory C,PW-2000,275.0,Night
2022-05-14,Factory C,Commercial-Pro,389.0,Morning
2023-05-30,Factory A,Commercial-Pro,274.0,Night
2022-06-05,Factory D,PW-3000,136.0,Night
2023-06-02,Factory A,Industrial-X,253.0,Night
2023-03-30,Factory C,Commercial-Pro,215.0,Night
2022-06-14,Factory C,PW-2000,268.0,Night
2022-06-28,Factory D,Industrial-X,75.0,
2023-01-16,Factory A,Industrial-X,383.0,Night
2023-05-01,Factory D,PW-2000,162.0,
2023-08-06,Factory E,PW-2000,94.0,
2023-02-02,Factory C,PW-4000,305.0,Afternoon
2022-05-18,Factory D,PW-2000,79.0,
2022-08-05,Factory E,Industrial-X,199.0,Morning
2022-07-14,Factory D,Commercial-Pro,153.0,Night
2023-05-05,Factory B,Industrial-X,345.0,Night
2022-02-28,Factory B,PW-3000,306.0,Morning
2023-09-11,Factory B,PW-3000,331.0,Afternoon
2022-04-11,Factory D,Commercial-Pro,85.0,Morning
2022-09-10,Factory A,Industrial-X,327.0,Night
2022-01-31,Factory C,PW-3000,267.0,Night
2022-07-29,Factory D,PW-3000,36.0,Morning
2023-08-18,Factory E,Industrial-X,259.0,Morning
2022-08-13,Factory D,PW-2000,48.0,Morning
2022-06-04,Factory E,PW-3000,167.0,Morning
2023-03-21,Factory B,PW-4000,396.0,Morning
2022-05-25,Factory A,Commercial-Pro,342.0,Night
2022-06-20,Factory D,PW-4000,177.0,Night
2023-02-11,Factory C,PW-2000,171.0,Morning
2023-04-25,Factory A,Industrial-X,373.0,Afternoon
2022-12-14,Factory B,PW-2000,292.0,
2022-12-15,Factory B,,175.0,
2022-05-13,Factory C,Industrial-X,143.0,
2023-11-25,Factory C,PW-2000,184.0,Afternoon
2023-10-28,Factory C,PW-2000,200.0,
2023-08-11,Factory C,PW-4000,305.0,Morning
2023-03-17,Factory E,Industrial-X,297.0,Morning
2022-04-30,Factory A,PW-2000,165.0,Night
2022-04-03,Factory E,PW-4000,111.0,Afternoon
2023-11-08,Factory A,Industrial-X,298.0,
2022-05-26,Factory D,PW-3000,173.0,Afternoon
2023-10-06,Factory D,Industrial-X,171.0,Morning
2022-05-19,Factory C,PW-3000,253.0,Night
2022-09-29,Factory E,PW-2000,154.0,Afternoon
2023-11-11,Factory E,,229.0,Morning
2023-12-31,Factory B,PW-3000,303.0,Morning
2022-08-09,Factory A,PW-4000,214.0,Afternoon
2023-04-11,Factory D,PW-2000,39.0,Morning
2023-12-27,Factory E,Industrial-X,133.0,Afternoon
2022-07-19,Factory C,Industrial-X,303.0,Morning
2023-10-16,Factory D,PW-3000,128.0,Night
2022-04-17,Factory E,PW-4000,279.0,Morning
2023-11-25,Factory C,,232.0,Morning
2022-02-16,Factory C,PW-4000,266.0,
2023-08-19,Factory C,PW-3000,302.0,Morning
2023-03-31,Factory C,PW-3000,122.0,Night
2023-07-25,Factory C,PW-2000,189.0,
2023-05-16,Factory A,PW-4000,328.0,Night
2022-02-28,Factory B,PW-2000,164.0,Night
2022-01-04,Factory D,Commercial-Pro,26.0,Night
2022-10-04,Factory D,PW-3000,89.0,Morning
2023-12-12,Factory D,,133.0,Night
2022-10-12,Factory C,PW-4000,263.0,Morning
2023-01-19,Factory C,Industrial-X,206.0,Morning
2022-10-10,Factory C,Commercial-Pro,131.0,Afternoon
2022-11-05,Factory E,PW-3000,212.0,Afternoon
2022-10-01,Factory C,Commercial-Pro,363.0,
2022-07-12,Factory C,Commercial-Pro,331.0,Night
2023-12-07,Factory A,PW-4000,264.0,
2023-09-06,Factory A,PW-3000,314.0,Night
2022-02-04,Factory A,Industrial-X,152.0,Morning
2022-10-26,Factory D,Industrial-X,119.0,
2022-06-09,Factory A,Commercial-Pro,205.0,Afternoon
